name,specialty,email,phone,availability
Dr. John Smith,Cardiology,john.smith@medibook.com,555-0101,Mon-Fri 9AM-5PM
Dr. Sarah Johnson,Dermatology,sarah.johnson@medibook.com,555-0102,Mon-Wed-Fri 10AM-4PM
Dr. Michael Chen,Orthopedics,michael.chen@medibook.com,555-0103,Tue-Thu 8AM-6PM
Dr. Emily Davis,Pediatrics,emily.davis@medibook.com,555-0104,Mon-Fri 9AM-3PM
Dr. Robert Wilson,Neurology,robert.wilson@medibook.com,555-0105,Mon-Thu 10AM-5PM
Dr. Lisa Anderson,Ophthalmology,lisa.anderson@medibook.com,555-0106,Tue-Fri 9AM-4PM
Dr. David Martinez,Psychiatry,david.martinez@medibook.com,555-0107,Mon-Fri 11AM-7PM
Dr. Jennifer Taylor,General Practice,jennifer.taylor@medibook.com,555-0108,Mon-Sat 8AM-6PM
Dr. James Brown,Gynecology,james.brown@medibook.com,555-0109,Mon-Wed-Fri 9AM-5PM
Dr. Maria Garcia,Dentistry,maria.garcia@medibook.com,555-0110,Tue-Thu-Sat 9AM-5PM
